example_id                                                                  | status  | run_time        |
./spec/controllers/organisations_controller_spec.rb[1:7:1:1:1]              | passed  | 0.01468 seconds |
./spec/controllers/organisations_controller_spec.rb[1:7:1:1:2]              | passed  | 0.01407 seconds |
./spec/controllers/organisations_controller_spec.rb[1:7:1:2:1]              | passed  | 0.01201 seconds |
./spec/controllers/organisations_controller_spec.rb[1:7:1:2:2]              | passed  | 0.01509 seconds |
./spec/controllers/organisations_controller_spec.rb[1:7:2:1]                | passed  | 0.00889 seconds |
./spec/controllers/organisations_controller_spec.rb[1:7:3:1:1]              | passed  | 0.00805 seconds |
./spec/controllers/organisations_controller_spec.rb[1:7:3:1:2]              | passed  | 0.0081 seconds  |
./spec/controllers/organisations_controller_spec.rb[1:7:3:1:3]              | passed  | 0.00684 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:1:1:1]              | passed  | 0.01587 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:1:1:2]              | passed  | 0.01517 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:1:1:3]              | passed  | 0.01481 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:1:2:1]              | passed  | 0.00872 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:1:2:2]              | passed  | 0.01244 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:2:1:1]              | passed  | 0.00802 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:2:2:1]              | passed  | 0.00756 seconds |
./spec/controllers/organisations_controller_spec.rb[1:8:3:1]                | passed  | 0.01189 seconds |
./spec/controllers/organisations_controller_spec.rb[1:9:1:1]                | passed  | 0.00962 seconds |
./spec/controllers/organisations_controller_spec.rb[1:9:2:1]                | passed  | 0.00915 seconds |
./spec/controllers/organisations_controller_spec.rb[1:9:3:1]                | passed  | 0.00981 seconds |
./spec/controllers/organisations_controller_spec.rb[1:10:1]                 | passed  | 0.01588 seconds |
./spec/controllers/organisations_controller_spec.rb[1:10:2]                 | passed  | 0.01477 seconds |
./spec/controllers/organisations_controller_spec.rb[1:10:3]                 | passed  | 0.01384 seconds |
./spec/controllers/organisations_controller_spec.rb[1:10:4]                 | passed  | 0.0135 seconds  |
./spec/controllers/organisations_controller_spec.rb[1:10:5]                 | passed  | 0.0144 seconds  |
./spec/controllers/organisations_controller_spec.rb[1:10:6]                 | passed  | 0.01398 seconds |
./spec/controllers/pages_controller_spec.rb[1:1:1]                          | passed  | 0.0035 seconds  |
./spec/controllers/pages_controller_spec.rb[1:1:2]                          | passed  | 0.00511 seconds |
./spec/controllers/pages_controller_spec.rb[1:1:3]                          | passed  | 0.0055 seconds  |
./spec/controllers/pages_controller_spec.rb[1:2:1:1]                        | passed  | 0.00919 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:1:2]                        | passed  | 0.00754 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:1:3]                        | passed  | 0.0056 seconds  |
./spec/controllers/pages_controller_spec.rb[1:2:2]                          | passed  | 0.00816 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:3:1]                        | passed  | 0.00659 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:3:2]                        | passed  | 0.00639 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:3:3]                        | passed  | 0.00584 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:4]                          | passed  | 0.0057 seconds  |
./spec/controllers/pages_controller_spec.rb[1:2:5]                          | passed  | 0.00912 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:6]                          | passed  | 0.00684 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:1]                          | passed  | 0.01145 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:2]                          | passed  | 0.0045 seconds  |
./spec/controllers/pages_controller_spec.rb[1:3:3]                          | passed  | 0.00502 seconds |
./spec/controllers/pages_controller_spec.rb[1:4:1]                          | passed  | 0.00508 seconds |
./spec/controllers/pages_controller_spec.rb[1:4:2]                          | passed  | 0.00583 seconds |
./spec/controllers/pages_controller_spec.rb[1:4:3]                          | passed  | 0.01248 seconds |
./spec/controllers/pages_controller_spec.rb[1:5:1]                          | passed  | 0.00732 seconds |
./spec/controllers/pages_controller_spec.rb[1:5:2]                          | passed  | 0.00544 seconds |
./spec/controllers/pages_controller_spec.rb[1:5:3]                          | passed  | 0.00628 seconds |
./spec/controllers/pages_controller_spec.rb[1:5:4]                          | passed  | 0.0057 seconds  |
./spec/controllers/pages_controller_spec.rb[1:5:5]                          | passed  | 0.00576 seconds |
./spec/controllers/pages_controller_spec.rb[1:6:1]                          | passed  | 0.00801 seconds |
./spec/controllers/pages_controller_spec.rb[1:6:2]                          | passed  | 0.00656 seconds |
./spec/controllers/pages_controller_spec.rb[1:6:3]                          | passed  | 0.00746 seconds |
./spec/controllers/pages_controller_spec.rb[1:6:4]                          | passed  | 0.00529 seconds |
./spec/controllers/pages_controller_spec.rb[1:6:5]                          | passed  | 0.00657 seconds |
./spec/controllers/pages_controller_spec.rb[1:7:1]                          | passed  | 0.00492 seconds |
./spec/controllers/pages_controller_spec.rb[1:7:2]                          | passed  | 0.00578 seconds |
./spec/controllers/pages_controller_spec.rb[1:7:3]                          | passed  | 0.02548 seconds |
./spec/controllers/pages_controller_spec.rb[1:7:4]                          | passed  | 0.00514 seconds |
./spec/controllers/pages_controller_spec.rb[1:8:1]                          | passed  | 0.00209 seconds |
./spec/controllers/passwords_controller_spec.rb[1:1:1:1]                    | passed  | 0.02092 seconds |
./spec/controllers/passwords_controller_spec.rb[1:1:1:2]                    | passed  | 0.02313 seconds |
./spec/controllers/passwords_controller_spec.rb[1:1:1:3]                    | passed  | 0.02112 seconds |
./spec/controllers/passwords_controller_spec.rb[1:1:2:1]                    | passed  | 0.01434 seconds |
./spec/controllers/passwords_controller_spec.rb[1:2:1:1]                    | passed  | 0.24829 seconds |
./spec/controllers/passwords_controller_spec.rb[1:2:2:1]                    | passed  | 0.01489 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:1:1]     | passed  | 0.04891 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:1:2]     | passed  | 0.04359 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:1:3]     | passed  | 0.0439 seconds  |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:1:1]   | passed  | 0.02864 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:1:2:1] | passed  | 0.06674 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:1:2:2] | passed  | 0.0283 seconds  |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:1:2:3] | passed  | 0.03133 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:2:1]   | passed  | 0.03303 seconds |
